time,commanded_linear,commanded_angular,x_actual,y_actual,theta_actual,v_actual,omega_actual
0.00018835067749023438,0.3,0,0,0,0,0,0
0.011402130126953125,0.3,0,-1.9085115365571545e-06,9.078649018328226e-06,5.5842987393374865e-05,6.397601778593944e-07,7.650453329803364e-06
0.011464357376098633,0.3,0,-1.9085115365571545e-06,9.078649018328226e-06,5.5842987393374865e-05,6.397601778593944e-07,7.650453329803364e-06
0.020890474319458008,0.3,0,-1.9085115365571545e-06,9.078649018328226e-06,5.5842987393374865e-05,6.397601778593944e-07,7.650453329803364e-06
0.03160405158996582,0.3,0,-1.9085115365571545e-06,9.078649018328226e-06,5.5842987393374865e-05,6.397601778593944e-07,7.650453329803364e-06
0.044814109802246094,0.3,0,-1.9013544854899062e-06,9.098361775003079e-06,5.5966795048209484e-05,6.397636968551339e-07,7.650517948281034e-06
0.05834007263183594,0.3,0,-1.9013544854899062e-06,9.098361775003079e-06,5.5966795048209484e-05,6.397636968551339e-07,7.650517948281034e-06
0.08734989166259766,0.3,0,-1.9013544854899062e-06,9.098361775003079e-06,5.5966795048209484e-05,6.397636968551339e-07,7.650517948281034e-06
0.09427237510681152,0.3,0,-1.8944079234516423e-06,9.117494786566468e-06,5.6086961562509214e-05,6.397671105951896e-07,7.650580633212374e-06
0.09945487976074219,0.3,0,-1.8944079234516423e-06,9.117494786566468e-06,5.6086961562509214e-05,6.397671105951896e-07,7.650580633212374e-06
0.10786938667297363,0.3,0,-1.8944079234516423e-06,9.117494786566468e-06,5.6086961562509214e-05,6.397671105951896e-07,7.650580633212374e-06
0.11248493194580078,0.3,0,-1.8944079234516423e-06,9.117494786566468e-06,5.6086961562509214e-05,6.397671105951896e-07,7.650580633212374e-06
0.12109112739562988,0.3,0,-1.88746134912373e-06,9.136627839363815e-06,5.620712833404549e-05,6.397705256055945e-07,7.650643341816895e-06
0.12955498695373535,0.3,0,-1.88746134912373e-06,9.136627839363815e-06,5.620712833404549e-05,6.397705256055945e-07,7.650643341816895e-06
0.13701963424682617,0.3,0,-1.88746134912373e-06,9.136627839363815e-06,5.620712833404549e-05,6.397705256055945e-07,7.650643341816895e-06
0.17323660850524902,0.3,0,-1.8803042596939393e-06,9.156340724748644e-06,5.6330936791835007e-05,6.397740424772264e-07,7.650707920309625e-06
0.17783689498901367,0.3,0,-1.8803042596939393e-06,9.156340724748644e-06,5.6330936791835007e-05,6.397740424772264e-07,7.650707920309625e-06
0.1840195655822754,0.3,0,-1.8803042596939393e-06,9.156340724748644e-06,5.6330936791835007e-05,6.397740424772264e-07,7.650707920309625e-06
0.19017481803894043,0.3,0,-1.8733576604267749e-06,9.175473861221483e-06,5.645110408538122e-05,6.397774563557583e-07,7.650770608106494e-06
0.1999797821044922,0.3,0,-1.8733576604267749e-06,9.175473861221483e-06,5.645110408538122e-05,6.397774563557583e-07,7.650770608106494e-06
0.20980572700500488,0.3,0,-1.8733576604267749e-06,9.175473861221483e-06,5.645110408538122e-05,6.397774563557583e-07,7.650770608106494e-06
0.2185056209564209,0.3,0,-1.8733576604267749e-06,9.175473861221483e-06,5.645110408538122e-05,6.397774563557583e-07,7.650770608106494e-06
0.22469782829284668,0.3,0,-1.8664110488682273e-06,9.194607038938073e-06,5.657127163622475e-05,6.397808715880138e-07,7.650833320780506e-06
0.25432896614074707,0.3,0,-1.8664110488682273e-06,9.194607038938073e-06,5.657127163622475e-05,6.397808715880138e-07,7.650833320780506e-06
0.26614809036254883,0.3,0,-1.8664110488682273e-06,9.194607038938073e-06,5.657127163622475e-05,6.397808715880138e-07,7.650833320780506e-06
0.2817091941833496,0.3,0,-1.8592539210880374e-06,9.214320052997619e-06,5.669508089675195e-05,6.397843875889792e-07,7.650897883242035e-06
0.2867865562438965,0.3,0,-1.8592539210880374e-06,9.214320052997619e-06,5.669508089675195e-05,6.397843875889792e-07,7.650897883242035e-06
0.2925565242767334,0.3,0,-1.8592539210880374e-06,9.214320052997619e-06,5.669508089675195e-05,6.397843875889792e-07,7.650897883242035e-06
0.2986161708831787,0.3,0,0.0004951648029345576,9.389723677723864e-06,5.7782884467156426e-05,0.029298099741268673,1.8054303149120617e-05
0.30422091484069824,0.3,0,0.0004951648029345576,9.389723677723864e-06,5.7782884467156426e-05,0.029298099741268673,1.8054303149120617e-05
0.30965685844421387,0.3,0,0.0004951648029345576,9.389723677723864e-06,5.7782884467156426e-05,0.029298099741268673,1.8054303149120617e-05
0.3414592742919922,0.3,0,0.0004951648029345576,9.389723677723864e-06,5.7782884467156426e-05,0.029298099741268673,1.8054303149120617e-05
0.34755659103393555,0.3,0,0.001960377572174629,9.455868369794318e-06,5.8194979731877636e-05,0.05867559414948721,2.3437527904466166e-05
0.3521604537963867,0.3,0,0.001960377572174629,9.455868369794318e-06,5.8194979731877636e-05,0.05867559414948721,2.3437527904466166e-05
0.357806921005249,0.3,0,0.001960377572174629,9.455868369794318e-06,5.8194979731877636e-05,0.05867559414948721,2.3437527904466166e-05
0.36361169815063477,0.3,0,0.001960377572174629,9.455868369794318e-06,5.8194979731877636e-05,0.05867559414948721,2.3437527904466166e-05
0.3693561553955078,0.3,0,0.001960377572174629,9.455868369794318e-06,5.8194979731877636e-05,0.05867559414948721,2.3437527904466166e-05
0.3795938491821289,0.3,0,0.001960377572174629,9.455868369794318e-06,5.8194979731877636e-05,0.05867559414948721,2.3437527904466166e-05
0.3877449035644531,0.3,0,0.007910175778230529,9.50051767139332e-06,5.847706213898001e-05,0.11780414398154648,1.8730529198476346e-05
0.3956305980682373,0.3,0,0.007910175778230529,9.50051767139332e-06,5.847706213898001e-05,0.11780414398154648,1.8730529198476346e-05
0.4176816940307617,0.3,0,0.007910175778230529,9.50051767139332e-06,5.847706213898001e-05,0.11780414398154648,1.8730529198476346e-05
0.4281027317047119,0.3,0,0.007910175778230529,9.50051767139332e-06,5.847706213898001e-05,0.11780414398154648,1.8730529198476346e-05
0.4361395835876465,0.3,0,0.012272551393604135,9.332456099463905e-06,5.744303334141989e-05,0.14550531087925034,-4.934594862361946e-06
0.4424409866333008,0.3,0,0.012272551393604135,9.332456099463905e-06,5.744303334141989e-05,0.14550531087925034,-4.934594862361946e-06
0.4493269920349121,0.3,0,0.012272551393604135,9.332456099463905e-06,5.744303334141989e-05,0.14550531087925034,-4.934594862361946e-06
0.45903921127319336,0.3,0,0.017683132357524164,8.834002795787296e-06,5.4369996886815386e-05,0.17147072880071723,-6.569512900543227e-05
0.46617555618286133,0.3,0,0.017683132357524164,8.834002795787296e-06,5.4369996886815386e-05,0.17147072880071723,-6.569512900543227e-05
