time,commanded_linear,commanded_angular,x_actual,y_actual,theta_actual,v_actual,omega_actual
0.0009071826934814453,0,0,0,0,0,0,0
0.005419015884399414,0,0,0,0,0,0,0
0.010948657989501953,0,0,0,0,0,0,0
0.016544342041015625,0,0,-3.851589349964692e-06,3.7270949259463043e-06,2.2232025933265524e-05,6.388052629133823e-07,7.63291868062315e-06
0.02270793914794922,0,0,-3.851589349964692e-06,3.7270949259463043e-06,2.2232025933265524e-05,6.388052629133823e-07,7.63291868062315e-06
0.06439423561096191,0,0,-3.851589349964692e-06,3.7270949259463043e-06,2.2232025933265524e-05,6.388052629133823e-07,7.63291868062315e-06
0.09051036834716797,0,0,-3.851589349964692e-06,3.7270949259463043e-06,2.2232025933265524e-05,6.388052629133823e-07,7.63291868062315e-06
0.09429478645324707,0,0,-3.8446462371213505e-06,3.746216366277586e-06,2.2352120260337528e-05,6.38808674339443e-07,7.632981322810268e-06
0.09949159622192383,0,0,-3.8446462371213505e-06,3.746216366277586e-06,2.2352120260337528e-05,6.38808674339443e-07,7.632981322810268e-06
0.12954187393188477,0,0,-3.8446462371213505e-06,3.746216366277586e-06,2.2352120260337528e-05,6.38808674339443e-07,7.632981322810268e-06
0.1483311653137207,0,0,-3.837492714068788e-06,3.765917287313787e-06,2.2475854078438876e-05,6.388121908259941e-07,7.633045894177582e-06
0.15209102630615234,0,0,-3.837492714068788e-06,3.765917287313787e-06,2.2475854078438876e-05,6.388121908259941e-07,7.633045894177582e-06
0.15834641456604004,0,0,-3.837492714068788e-06,3.765917287313787e-06,2.2475854078438876e-05,6.388121908259941e-07,7.633045894177582e-06
0.16536951065063477,0,0,-3.830549576287062e-06,3.7850388113027224e-06,2.2595948927409075e-05,6.388156008726366e-07,7.633108511003012e-06
0.17215847969055176,0,0,-3.830549576287062e-06,3.7850388113027224e-06,2.2595948927409075e-05,6.388156008726366e-07,7.633108511003012e-06
0.17864298820495605,0,0,-3.830549576287062e-06,3.7850388113027224e-06,2.2595948927409075e-05,6.388156008726366e-07,7.633108511003012e-06
